risk_pct,max_pos_pct,sl_mult,tp_mult,sma_fast,sma_slow,sma_long,Return [%],Max Drawdown [%],Sharpe Ratio,Profit Factor,Total Trades,Calmar Ratio
0.006,0.12,2.0,8.0,10,40,120,73.17284821419683,15.38625598712741,0.7358668951399855,2.2771437117048765,100,0.4616158590679498
0.007,0.12,1.8,8.0,10,40,120,73.17284821419683,15.38625598712741,0.7358668951399855,2.2771437117048765,100,0.4616158590679498
0.007,0.12,1.8,10.0,10,40,120,73.17284821419683,15.38625598712741,0.7358668951399855,2.2771437117048765,100,0.4616158590679498
0.007,0.12,2.0,6.0,10,40,120,73.17284821419683,15.38625598712741,0.7358668951399855,2.2771437117048765,100,0.4616158590679498
0.006,0.12,2.0,10.0,10,40,120,73.17284821419683,15.38625598712741,0.7358668951399855,2.2771437117048765,100,0.4616158590679498
0.008,0.12,1.8,10.0,10,40,120,73.17284821419683,15.38625598712741,0.7358668951399855,2.2771437117048765,100,0.4616158590679498
0.007,0.12,1.8,6.0,10,40,120,73.17284821419683,15.38625598712741,0.7358668951399855,2.2771437117048765,100,0.4616158590679498
0.007,0.12,1.5,6.0,10,40,120,73.17284821419683,15.38625598712741,0.7358668951399855,2.2771437117048765,100,0.4616158590679498
0.008,0.12,2.0,10.0,10,40,120,73.17284821419683,15.38625598712741,0.7358668951399855,2.2771437117048765,100,0.4616158590679498
0.008,0.12,1.8,8.0,10,40,120,73.17284821419683,15.38625598712741,0.7358668951399855,2.2771437117048765,100,0.4616158590679498
0.008,0.12,2.0,8.0,10,40,120,73.17284821419683,15.38625598712741,0.7358668951399855,2.2771437117048765,100,0.4616158590679498
0.008,0.12,2.0,6.0,10,40,120,73.17284821419683,15.38625598712741,0.7358668951399855,2.2771437117048765,100,0.4616158590679498
0.007,0.12,1.5,8.0,10,40,120,73.17284821419683,15.38625598712741,0.7358668951399855,2.2771437117048765,100,0.4616158590679498
0.007,0.12,2.0,8.0,10,40,120,73.17284821419683,15.38625598712741,0.7358668951399855,2.2771437117048765,100,0.4616158590679498
0.006,0.12,1.8,10.0,10,40,120,73.17284821419683,15.38625598712741,0.7358668951399855,2.2771437117048765,100,0.4616158590679498
0.006,0.12,2.0,6.0,10,40,120,73.17284821419683,15.38625598712741,0.7358668951399855,2.2771437117048765,100,0.4616158590679498
0.007,0.12,2.0,10.0,10,40,120,73.17284821419683,15.38625598712741,0.7358668951399855,2.2771437117048765,100,0.4616158590679498
0.006,0.12,1.5,6.0,10,40,120,73.17284821419683,15.38625598712741,0.7358668951399855,2.2771437117048765,100,0.4616158590679498
0.006,0.12,1.5,10.0,10,40,120,73.17284821419683,15.38625598712741,0.7358668951399855,2.2771437117048765,100,0.4616158590679498
0.006,0.12,1.5,8.0,10,40,120,73.17284821419683,15.38625598712741,0.7358668951399855,2.2771437117048765,100,0.4616158590679498
0.008,0.1,2.0,8.0,10,40,120,59.59701524013313,13.171817649608247,0.7309569076256859,2.315855117859199,100,0.4566955219017973
0.008,0.1,2.0,10.0,10,40,120,59.59701524013313,13.171817649608247,0.7309569076256859,2.315855117859199,100,0.4566955219017973
0.005,0.1,2.0,10.0,10,40,120,59.59701524013313,13.171817649608247,0.7309569076256859,2.315855117859199,100,0.4566955219017973
0.005,0.1,2.0,8.0,10,40,120,59.59701524013313,13.171817649608247,0.7309569076256859,2.315855117859199,100,0.4566955219017973
0.005,0.1,1.5,8.0,10,40,120,59.59701524013313,13.171817649608247,0.7309569076256859,2.315855117859199,100,0.4566955219017973
0.008,0.1,1.8,8.0,10,40,120,59.59701524013313,13.171817649608247,0.7309569076256859,2.315855117859199,100,0.4566955219017973
0.008,0.1,1.8,6.0,10,40,120,59.59701524013313,13.171817649608247,0.7309569076256859,2.315855117859199,100,0.4566955219017973
0.005,0.1,1.5,6.0,10,40,120,59.59701524013313,13.171817649608247,0.7309569076256859,2.315855117859199,100,0.4566955219017973
0.005,0.1,1.8,6.0,10,40,120,59.59701524013313,13.171817649608247,0.7309569076256859,2.315855117859199,100,0.4566955219017973
0.005,0.1,2.0,6.0,10,40,120,59.59701524013313,13.171817649608247,0.7309569076256859,2.315855117859199,100,0.4566955219017973
0.005,0.1,1.8,8.0,10,40,120,59.59701524013313,13.171817649608247,0.7309569076256859,2.315855117859199,100,0.4566955219017973
0.005,0.1,1.8,10.0,10,40,120,59.59701524013313,13.171817649608247,0.7309569076256859,2.315855117859199,100,0.4566955219017973
0.005,0.1,1.5,10.0,10,40,120,59.59701524013313,13.171817649608247,0.7309569076256859,2.315855117859199,100,0.4566955219017973
0.007,0.1,1.8,10.0,10,40,120,59.59701524013313,13.171817649608247,0.7309569076256859,2.315855117859199,100,0.4566955219017973
0.007,0.1,2.0,6.0,10,40,120,59.59701524013313,13.171817649608247,0.7309569076256859,2.315855117859199,100,0.4566955219017973
0.007,0.1,2.0,10.0,10,40,120,59.59701524013313,13.171817649608247,0.7309569076256859,2.315855117859199,100,0.4566955219017973
0.007,0.1,2.0,8.0,10,40,120,59.59701524013313,13.171817649608247,0.7309569076256859,2.315855117859199,100,0.4566955219017973
